com.medigy.persist.reference.type.clincial.Icd9.code,shortDescr,mediumDescr,longDescr
8.49,BACTERIAL ENTERITIS OT,INTESTINAL INFEC OTH BACTERIA,INTESTINAL INFECTION DUE TO OTHER ORGANISMS
8.5,BACTERIAL ENTERITIS UNSPEC,UNS BACTERIAL ENTERITIS,BACTERIAL ENTERITIS UNSPECIFIED
8.61,ROTAVIRUS ENTERITIS,ENTERITIS ROTAVIRUS,ENTERITIS DUE TO ROTAVIRUS
8.62,ADENOVIRUS ENTERITIS,ENTERITIS ADENOVIRUS,ENTERITIS DUE TO ADENOVIRUS
8.63,NORWALK VIRUS ENTERITIS,ENTERITIS NORWALK VIRUS,ENTERITIS DUE TO NORWALK VIRUS
8.64,ENTERITIS SRV OT,ENTERITIS OTH SMALL ROUND VIRUSES,ENTERITIS DUE TO OTHER SMALL ROUND VIRUSES [SRV'S]
8.65,CALCIVIRUS ENTERITIS,ENTERITIS CALCIVIRUS,ENTERITIS DUE TO CALCIVIRUS
8.66,ASTROVIRUS ENTERITIS,ENTERITIS ASTROVIRUS,ENTERITIS DUE TO ASTROVIRUS
8.67,ENTERIT ENTEROVIRUS OT,ENTERITIS ENTEROVIRUS NEC,ENTERITIS DUE TO ENTEROVIRUS NEC
8.69,VIRAL ENTERITIS OT,OTH VIRAL ENTERITIS,ENTERITIS DUE TO OTHER VIRAL ENTERITIS
8.8,VIRAL ENTERITIS UNSPEC,ENTERITIS OTH VIRAL ORGANISM NEC,INTESTINAL INFECTION DUE TO OTHER ORGANISM NOT ELSEWHERE CLASSIFIED
9,INFECTIOUS ENTERITIS UNSPEC,INFECTIOUS ENTERITIS,INFECTIOUS COLITIS ENTERITIS AND GASTROENTERITIS
9.1,ENTERITIS OF INFECT ORIG,ENTERITIS INFECT ORIGIN,COLITIS ENTERITIS AND GASTROENTERITIS OF PRESUMED INFECTIOUS ORIGIN
9.2,INFECTIOUS DIARRHEA,INFECTIOUS DIARRHEA,INFECTIOUS DIARRHEA
9.3,DIARRHEA OF INFECT ORIG,DIARRHEA PRESUMED INFECTIOUS ORIGIN,DIARRHEA OF PRESUMED INFECTIOUS ORIGIN
10,PRIMARY TB COMPLEX UNSPEC,PRIMARY TB COMPLEX UNS EXAM,PRIMARY TUBERCULOUS COMPLEX UNSPECIFIED EXAMINATION
10.01,PRIMARY TB COMPLEX NO EXAM,PRIMARY TB COMPLEX NO EXAM,PRIMARY TUBERCULOUS COMPLEX BACTERIOLOGICAL OR HISTOLOGICAL EXAMINATION NOT DONE
10.02,PRIMARY TB COMPLEX EXM UNKN,PRIMARY TB COMPLEX EXAM UNKN,PRIMARY TUBERCULOUS COMPLEX BACTERIOLOGICAL OR HISTOLOGICAL EXAMINATION RESULTS UNKNOWN (AT PRESENT)
10.03,PRIMARY TB COMPLEX MICRO DX,PRIMARY TB COMPLEX MICRO DX,PRIMARY TUBERCULOUS COMPLEX TUBERCLE BACILLI FOUND (IN SPUTUM) BY MICROSCOPY
10.04,PRIMARY TB COMPLEX CULT DX,PRIMARY TB COMPLEX CULT DX,PRIMARY TUBERCULOUS COMPLEX TUBERCLE BACILLI NOT FOUND (IN SPUTUM) BY MICROSCOPY BUT FOUND BY BACTERIAL CULTURE
10.05,PRIMARY TB COMPLEX HISTO DX,PRIMARY TB COMPLEX HISTO DX,PRIMARY TUBERCULOUS COMPLEX TUBERCLE BACILLI NOT FOUND BY BACTERIOLOGICAL EXAMINATION BUT TUBERCULOSIS CONFIRMED HISTOLOGICALLY
10.06,PRIMARY TB COMPLEX OT TEST,PRIMARY TB COMPLEX OTH TEST,PRIMARY TUBERCULOUS COMPLEX TUBERCLE BACILLI NOT FOUND BY BACTERIOLOGICAL OR HISTOLOGICAL EXAMINATION BUT TUBERCULOSIS CONFIRMED BY OTHER METHODS (INOCULATION OF ANIMALS)
10.1,PRIMARY TB PLEURISY UNSPEC,TB PLEURISY PRIMARY PROGTB UNS EXAM,TUBERCULOUS PLEURISY IN PRIMARY PROGRESSIVE TUBERCULOSIS CONFIRMATION UNSPECIFIED
10.11,PRIMARY TB PLEURISY NO EXAM,TB PLEURISY PRIMARY PROGTB NO EXAM,TUBERCULOUS PLEURISY IN PRIMARY PROGRESSIVE TUBERCULOSIS BACTERIOLOGICAL OR HISTOLOGICAL EXAMINATION NOT DONE
10.12,PRIMARY TB PLEUR EXAM UNKN,TB PLEURISY PRIMARY PROGTB EXAM UNK,TUBERCULOUS PLEURISY IN PRIMARY PROGRESSIVE TUBERCULOSIS BACTERIOLOGICAL OR HISTOLOGICAL EXAMINATION RESULTS UNKNOWN (AT PRESENT)
10.13,PRIMARY TB PLEURIS MICRO DX,TB PLEURISY PRIMARY PROGTB MICRO DX,TUBERCULOUS PLEURISY IN PRIMARY PROGRESSIVE TUBERCULOSIS TUBERCLE BACILLI FOUND (IN SPUTUM) BY MICROSCOPY
10.14,PRIMARY TB PLEURISY CULT DX,TB PLEURISY PRIMARY PROGTB CULT DX,TUBERCULOUS PLEURISY IN PRIMARY PROGRESSIVE TUBERCULOSIS TUBERCLE BACILLI NOT FOUND (IN SPUTUM) BY MICROSCOPY BUT FOUND BY BACTERIAL CULTURE
10.15,PRIMARY TB PLEURIS HISTO DX,TB PLEURISY PRIMARY PROGTB HISTO DX,TUBERCULOUS PLEURISY IN PRIMARY PROGRESSIVE TUBERCULOSIS TUBERCLE BACILLI NOT FOUND BY BACTERIOLOGICAL EXAMINATION BUT TUBERCULOSIS CONFIRMED HISTOLOGICALLY
10.16,PRIMARY TB PLEURIS OT TEST,TB PLEURISY PRIMARY PROGTB OTH TEST,TUBERCULOUS PLEURISY IN PRIMARY PROGRESSIVE TUBERCULOSIS TUBERCLE BACILLI NOT FOUND BY BACTERIOLOGICAL OR HISTOLOGICAL EXAMINATION BUT TUBERCULOSIS CONFIRMED BY OTHER METHODS (INOCULATION OF ANIMALS)
10.8,PRIMARY PROG TB OT UNSPEC,OTH PRIMARY PROGRESSIVE TB UNS EXAM,OTHER PRIMARY PROGRESSIVE TUBERCULOSIS CONFIRMATION UNSPECIFIED
10.81,PRIMARY PROG TB OT NO EXAM,OTH PRIMARY PROGRESSIVE TB NO EXAM,OTHER PRIMARY PROGRESSIVE TUBERCULOSIS BACTERIOLOGICAL OR HISTOLOGICAL EXAMINATION NOT DONE
10.82,PRIMARY PR TB OT EXAM UNKN,OTH PRIMARY PROGRESSIVE TB EXAM UNK,OTHER PRIMARY PROGRESSIVE TUBERCULOSIS BACTERIOLOGICAL OR HISTOLOGICAL EXAMINATION RESULTS UNKNOWN (AT PRESENT)
10.83,PRIMARY PRG TB OT MICRO DX,OTH PRIMARY PROGRESSIVE TB MICRO DX,OTHER PRIMARY PROGRESSIVE TUBERCULOSIS TUBERCLE BACILLI FOUND (IN SPUTUM) BY MICROSCOPY
10.84,PRIMARY PROG TB OT CULT DX,OTH PRIMARY PROGRESSIVE TB CULT DX,OTHER PRIMARY PROGRESSIVE TUBERCULOSIS TUBERCLE BACILLI NOT FOUND (IN SPUTUM) BY MICROSCOPY BUT FOUND BY BACTERIAL CULTURE
10.85,PRIMARY PRG TB OT HISTO DX,OTH PRIMARY PROGRESSIVE TB HISTO DX,OTHER PRIMARY PROGRESSIVE TUBERCULOSIS TUBERCLE BACILLI NOT FOUND BY BACTERIOLOGICAL EXAMINATION BUT TUBERCULOSIS CONFIRMED HISTOLOGICALLY
10.86,PRIMARY PRG TB OT OT TEST,OTH PRIMARY PROGRESSIVE TB OTH TEST,OTHER PRIMARY PROGRESSIVE TUBERCULOSIS TUBERCLE BACILLI NOT FOUND BY BACTERIOLOGICAL OR HISTOLOGICAL EXAMINATION BUT TUBERCULOSIS CONFIRMED BY OTHER METHODS (INOCULATION OF ANIMALS)
10.9,PRIMARY TB UNSP UNSPEC,UNS PRIMARY TB INFECTION UNS EXAM,PRIMARY TUBERCULOUS INFECTION UNSPECIFIED TYPE CONFIRMATION UNSPECIFIED
10.91,PRIMARY TB UNSP NO EXAM,UNS PRIMARY TB INFECTION NO EXAM,PRIMARY TUBERCULOUS INFECTION UNSPECIFIED TYPE BACTERIOLOGICAL OR HISTOLOGICAL EXAMINATION NOT DONE
10.92,PRIMARY TB UNSP EXAM UNKN,UNS PRIMARY TB INFECTION EXAM UNKN,PRIMARY TUBERCULOUS INFECTION UNSPECIFIED TYPE BACTERIOLOGICAL OR HISTOLOGICAL EXAMINATION RESULTS UNKNOWN (AT PRESENT)
10.93,PRIMARY TB UNSP MICRO DX,UNS PRIMARY TB INFECTION MICRO DX,PRIMARY TUBERCULOUS INFECTION UNSPECIFIED TYPE TUBERCLE BACILLI FOUND (IN SPUTUM) BY MICROSCOPY
10.94,PRIMARY TB UNSP CULT DX,UNS PRIMARY TB INFECTION CULT DX,PRIMARY TUBERCULOUS INFECTION UNSPECIFIED TYPE TUBERCLE BACILLI NOT FOUND (IN SPUTUM) BY MICROSCOPY BUT FOUND BY BACTERIAL CULTURE
10.95,PRIMARY TB UNSP HISTO DX,UNS PRIMARY TB INFECTION HISTO DX,PRIMARY TUBERCULOUS INFECTION UNSPECIFIED TYPE TUBERCLE BACILLI NOT FOUND BY BACTERIOLOGICAL EXAMINATION BUT TUBERCULOSIS CONFIRMED HISTOLOGICALLY
10.96,PRIMARY TB UNSP OT TEST,UNS PRIMARY TB INFECTION OTH TEST,PRIMARY TUBERCULOUS INFECTION UNSPECIFIED TYPE TUBERCLE BACILLI NOT FOUND BY BACTERIOLOGICAL OR HISTOLOGICAL EXAMINATION BUT TUBERCULOSIS CONFIRMED BY OTHER METHODS (INOCULATION OF ANIMALS)
11,TB LUNG INFILTRATV UNSPEC,TB OF LUNG INFILTRATIVE UNS EXAM,TUBERCULOSIS OF LUNG INFILTRATIVE CONFIRMATION UNSPECIFIED
11.01,TB LUNG INFILTRATV NO EXAM,TB OF LUNG INFILTRATIVE NO EXAM,TUBERCULOSIS OF LUNG INFILTRATIVE BACTERIOLOGICAL OR HISTOLOGICAL EXAMINATION NOT DONE
11.02,TB LUNG INFILTRATV EXM UNKN,TB OF LUNG INFILTRATIVE EXAM UNKN,TUBERCULOSIS OF LUNG INFILTRATIVE BACTERIOLOGICAL OR HISTOLOGICAL EXAMINATION RESULTS UNKNOWN (AT PRESENT)
11.03,TB LUNG INFILTRATV MICRO DX,TB OF LUNG INFILTRATIVE MICRO DX,TUBERCULOSIS OF LUNG INFILTRATIVE TUBERCLE BACILLI FOUND (IN SPUTUM) BY MICROSCOPY
11.04,TB LUNG INFILTRATV CULT DX,TB OF LUNG INFILTRATIVE CULT DX,TUBERCULOSIS OF LUNG INFILTRATIVE TUBERCLE BACILLI NOT FOUND (IN SPUTUM) BY MICROSCOPY BUT FOUND BY BACTERIAL CULTURE
11.05,TB LUNG INFILTRATV HISTO DX,TB OF LUNG INFILTRATIVE HISTO DX,TUBERCULOSIS OF LUNG INFILTRATIVE TUBERCLE BACILLI NOT FOUND BY BACTERIOLOGICAL EXAMINATION BUT TUBERCULOSIS CONFIRMED HISTOLOGICALLY
11.06,TB LUNG INFILTRATV OT TEST,TB OF LUNG INFILTRATIVE OTH TEST,TUBERCULOSIS OF LUNG INFILTRATIVE TUBERCLE BACILLI NOT FOUND BACTERIOLOGICAL OR HISTOLOGICAL EXAMINATION BUT TUBERCULOSIS CONFIRMED BY OTHER METHODS (INOCULATION OF ANIMALS)
11.1,TB LUNG NODULAR UNSPEC,TB OF LUNG NODULAR UNS EXAM,TUBERCULOSIS OF LUNG NODULAR UNSPECIFIED EXAMINATION
11.11,TB LUNG NODULAR NO EXAM,TB OF LUNG NODULAR NO EXAM,TUBERCULOSIS OF LUNG NODULAR BACTERIOLOGICAL OR HISTOLOGICAL EXAMINATION NOT DONE
11.12,TB LUNG NODULAR EXAM UNKN,TB OF LUNG NODULAR EXAM UNKN,TUBERCULOSIS OF LUNG NODULAR BACTERIOLOGICAL OR HISTOLOGICAL EXAMINATION RESULTS UNKNOWN (AT PRESENT)
11.13,TB LUNG NODULAR MICRO DX,TB OF LUNG NODULAR MICRO DX,TUBERCULOSIS OF LUNG NODULAR TUBERCLE BACILLI FOUND (IN SPUTUM) BY MICROSCOPY
11.14,TB LUNG NODULAR CULT DX,TB OF LUNG NODULAR CULT DX,TUBERCULOSIS OF LUNG NODULAR TUBERCLE BACILLI NOT FOUND (IN SPUTUM) BY MICROSCOPY BUT FOUND BY BACTERIAL CULTURE
11.15,TB LUNG NODULAR HISTO DX,TB OF LUNG NODULAR HISTO DX,TUBERCULOSIS OF LUNG NODULAR TUBERCLE BACILLI NOT FOUND BY BACTERIOLOGICAL EXAMINATION BUT TUBERCULOSIS CONFIRMED HISTOLOGICALLY
11.16,TB LUNG NODULAR OT TEST,TB OF LUNG NODULAR OTH TEST,TUBERCULOSIS OF LUNG NODULAR TUBERCLE BACILLI NOT FOUND BY BACTERIOLOGICAL OR HISTOLOGICAL EXAMINATION BUT TUBERCULOSIS CONFIRMED BY OTHER METHODS (INOCULATION OF ANIMALS)
11.2,TB LUNG W CAVITY UNSPEC,TB OF LUNG W CAVITATION UNS EXAM,TUBERCULOSIS OF LUNG WITH CAVITATION UNSPECIFIED EXAMINATION
11.21,TB LUNG W CAVITY NO EXAM,TB OF LUNG W CAVITATION NO EXAM,TUBERCULOSIS OF LUNG WITH CAVITATION BACTERIOLOGICAL OR HISTOLOGICAL EXAMINATION NOT DONE
11.22,TB LUNG W CAVITY EXAM UNKN,TB OF LUNG W CAVITATION EXAM UNKN,TUBERCULOSIS OF LUNG WITH CAVITATION BACTERIOLOGICAL OR HISTOLOGICAL EXAMINATION RESULTS UNKNOWN (AT PRESENT)
11.23,TB LUNG W CAVITY MICRO DX,TB OF LUNG W CAVITATION MICRO DX,TUBERCULOSIS OF LUNG WITH CAVITATION TUBERCLE BACILLI FOUND (IN SPUTUM) BY MICROSCOPY
11.24,TB LUNG W CAVITY CULT DX,TB OF LUNG W CAVITATION CULT DX,TUBERCULOSIS OF LUNG WITH CAVITATION TUBERCLE BACILLI NOT FOUND (IN SPUTUM) BY MICROSCOPY BUT FOUND BY BACTERIAL CULTURE
11.25,TB LUNG W CAVITY HISTO DX,TB OF LUNG W CAVITATION HISTO DX,TUBERCULOSIS OF LUNG WITH CAVITATION TUBERCLE BACILLI NOT FOUND BY BACTERIOLOGICAL EXAMINATION BUT TUBERCULOSIS CONFIRMED HISTOLOGICALLY
11.26,TB LUNG W CAVITY OT TEST,TB OF LUNG W CAVITATION OTH TEST,TUBERCULOSIS OF LUNG WITH CAVITATION TUBERCLE BACILLI NOT FOUND BY BACTERIOLOGICAL OR HISTOLOGICAL EXAMINATION BUT TUBERCULOSIS CONFIRMED BY OTHER METHODS (INOCULATION OF ANIMALS)
11.3,TB BRONCHUS UNSPEC,TB OF BRONCHUS UNS EXAM,TUBERCULOSIS OF BRONCHUS UNSPECIFIED EXAMINATION
11.31,TB BRONCHUS NO EXAM,TB OF BRONCHUS NO EXAM,TUBERCULOSIS OF BRONCHUS BACTERIOLOGICAL OR HISTOLOGICAL EXAMINATION NOT DONE
11.32,TB BRONCHUS EXAM UNKN,TB OF BRONCHUS EXAM UNKN,TUBERCULOSIS OF BRONCHUS BACTERIOLOGICAL OR HISTOLOGICAL EXAMINATION RESULTS UNKNOWN (AT PRESENT)
11.33,TB BRONCHUS MICRO DX,TB OF BRONCHUS MICRO DX,TUBERCULOSIS OF BRONCHUS TUBERCLE BACILLI FOUND (IN SPUTUM) BY MICROSCOPY
11.34,TB BRONCHUS CULT DX,TB OF BRONCHUS CULT DX,TUBERCULOSIS OF BRONCHUS TUBERCLE BACILLI NOT FOUND (IN SPUTUM) BY MICROSCOPY BUT FOUND IN BACTERIAL CULTURE
11.35,TB BRONCHUS HISTO DX,TB OF BRONCHUS HISTO DX,TUBERCULOSIS OF BRONCHUS TUBERCLE BACILLI NOT FOUND BY BACTERIOLOGICAL EXAMINATION BUT TUBERCULOSIS CONFIRMED HISTOLOGICALLY
11.36,TB BRONCHUS OT TEST,TB OF BRONCHUS OTH TEST,TUBERCULOSIS OF BRONCHUS TUBERCLE BACILLI NOT FOUND BY BACTERIOLOGICAL OR HISTOLOGICAL EXAMINATION BUT TUBERCULOSIS CONFIRMED BY OTHER METHODS (INOCULATION OF ANIMALS)
11.4,TB LUNG FIBROSIS UNSPEC,TB FIBROSIS LUNG UNS EXAM,TUBERCULOUS FIBROSIS OF LUNG UNSPECIFIED EXAMINATION
11.41,TB LUNG FIBROSIS NO EXAM,TB FIBROSIS LUNG NO EXAM,TUBERCULOUS FIBROSIS OF LUNG BACTERIOLOGICAL OR HISTOLOGICAL EXAMINATION NOT DONE
11.42,TB LUNG FIBROS EXAM UNKN,TB FIBROSIS LUNG EXAM UNKN,TUBERCULOUS FIBROSIS OF LUNG BACTERIOLOGICAL OR HISTOLOGICAL EXAMINATION UNKNOWN (AT PRESENT)
11.43,TB LUNG FIBROS MICRO DX,TB FIBROSIS LUNG MICRO DX,TUBERCULOUS FIBROSIS OF LUNG TUBERCLE BACILLI FOUND (IN SPUTUM) BY MICROSCOPY
11.44,TB LUNG FIBROSIS CULT DX,TB FIBROSIS LUNG CULT DX,TUBERCULOUS FIBROSIS OF LUNG TUBERCLE BACILLI NOT FOUND (IN SPUTUM) BY MICROSCOPY BUT FOUND BY BACTERIAL CULTURE
11.45,TB LUNG FIBROS HISTO DX,TB FIBROSIS LUNG HISTO DX,TUBERCULOUS FIBROSIS OF LUNG TUBERCLE BACILLI NOT FOUND BY BACTERIOLOGICAL EXAMINATION BUT TUBERCULOSIS CONFIRMED HISTOLOGICALLY
11.46,TB LUNG FIBROS OT TEST,TB FIBROSIS LUNG OTH TEST,TUBERCULOUS FIBROSIS OF LUNG TUBERCLE BACILLI NOT FOUND BY BACTERIOLOGICAL OR HISTOLOGICAL EXAMINATION BUT TUBERCULOSIS CONFIRMED BY OTHER METHODS (INOCULATION OF ANIMALS)
11.5,TB BRONCHIECTASIS UNSPEC,TB BRONCHIECTASIS UNS EXAM,TUBERCULOUS BRONCHIECTASIS UNSPECIFIED EXAMINATION
11.51,TB BRONCHIECTASIS NO EXAM,TB BRONCHIECTASIS NO EXAM,TUBERCULOUS BRONCHIECTASIS BACTERIOLOGICAL OR HISTOLOGICAL EXAMINATION NOT DONE
11.52,TB BRONCHIECTASIS EXAM UNKN,TB BRONCHIECTASIS EXAM UNKN,TUBERCULOUS BRONCHIECTASIS BACTERIOLOGICAL OR HISTOLOGICAL EXAMINATION RESULTS UNKNOWN (AT PRESENT)
11.53,TB BRONCHIECTASIS MICRO DX,TB BRONCHIECTASIS MICRO DX,TUBERCULOUS BRONCHIECTASIS TUBERCLE BACILLI FOUND (IN SPUTUM) BY MICROSCOPY
11.54,TB BRONCHIECTASIS CULT DX,TB BRONCHIECTASIS CULT DX,TUBERCULOUS BRONCHIECTASIS TUBERCLE BACILLI NOT FOUND (IN SPUTUM) BY MICROSCOPY BUT FOUND BY BACTERIAL CULTURE
11.55,TB BRONCHIECTASIS HISTO DX,TB BRONCHIECTASIS HISTO DX,TUBERCULOUS BRONCHIECTASIS TUBERCLE BACILLI NOT FOUND BY BACTERIOLOGICAL EXAMINATION BUT TUBERCULOSIS CONFIRMED HISTOLOGICALLY
